ACHU;47.124446;-356.319662;IGS08;1;Achun; France
ACL2;-27.270289;-208.300378;IGS08;1;Muldu QLD; Australia
ACME;40.10209;-79.438004;NA12;1;Acme; USA
ACNS;41.700051;-6.352106;IGS08;1;Alcañices; Spain
ACOM;46.547934;-346.485101;IGS08;1;Camporosso; Italy
ACOR;43.364383;-8.398934;IGS08;1;Ensanche; Spain
ACP1;9.371392;-79.949859;IGS08;1;Colón; Panama
ACP6;9.238476;-79.407823;IGS08;1;Panama City; Panama
ACPM;-33.44718;-70.537433;IGS08;1;Santiago; Chile
ACQU;38.056102;-345.411723;IGS08;1;Acquedolci; Italy
ACRA;5.558086;-0.202995;IGS08;1;Accra; Ghana
ACSB;33.274265;-117.444891;NA12;1;Oceanside; USA
ACSO;40.232361;-82.981531;NA12;1;Lewis Center; USA
ACSX;33.274265;-117.444892;NA12;1;Oceanside; USA
ACTO;43.608708;-80.062361;NA12;1;Milton; Canada
ACU2;41.743626;-70.886484;NA12;1;Acushnet; USA
ACU5;41.743564;-70.886955;NA12;1;Acushnet; USA
ACU6;41.743253;-70.886592;NA12;1;Acushnet; USA
ACYA;16.837972;-99.90298;NA12;1;Acapulco; Mexico
ADA1;47.30672;-96.515502;NA12;1;Ada; USA
ADAN;37.0035;-324.656286;IGS08;1;Adana; Turkey
ADAR;52.789217;-4.741335;IGS08;1;Uwchmynydd; UK
ADAX;43.710784;-1.055594;IGS08;1;Dax; France
ADCS;44.08819;-332.03429;IGS08;1;Adamclisi; Romania
ADD0;9.03493;-321.233755;IGS08;1;Addis Ababa; Ethiopia
ADD1;9.035296;-321.233921;IGS08;1;Addis Ababa; Ethiopia
ADDU;-0.690593;-286.849857;IGS08;1;Addu City; Maldives
ADE0;16.296864;-61.086459;NA12;1;Beausejour; Guadeloupe
ADE1;-34.728996;-221.352653;IGS08;1;Adelaide SA; Australia
ADE2;-34.728998;-221.352654;IGS08;1;Adelaide SA; Australia
ADEE;57.133485;-2.158845;IGS08;1;Aberdeen; UK
ADEL;-34.931209;-221.396337;IGS08;1;Adelaide SA; Australia
ADH1;24.383042;-305.480259;IGS08;1;Abu Dhabi - United Arab Emirates;Abu Dhabi - United Arab Emirates
ADIS;9.035135;-321.233697;IGS08;1;Addis Ababa; Ethiopia
ADIY;37.74586;-321.77032;IGS08;1;Altınşehir; Turkey
ADJU;46.095418;-332.810676;IGS08;1;Adjud; Romania
ADKS;29.790969;-95.586409;NA12;1;Westside; USA
ADLL;42.196395;-120.006711;NA12;2;Adel; USA
ADMI;49.640895;-107.948404;NA12;1;Admiral; Canada
ADMN;-35.992871;-211.216024;IGS08;1;Adaminaby NSW; Australia
ADN1;39.297576;-336.873005;IGS08;1;Kala Nera; Greece
ADOB;33.689275;-111.917997;NA12;1;Scottsdale; USA
ADRI;41.918989;-84.02428;NA12;1;Adrian; USA
ADSJ;39.404281;-3.221783;IGS08;1;Alcázar de San Juan; Spain
ADTU;7.866917;-321.280876;IGS08;1;Adami Tullu; Ethiopia
ADVT;45.340931;-64.787664;NA12;1;Advocate Harbour; Canada
AEDA;-20.546209;-70.177657;IGS08;1;Chucumata; Chile
AEGY;45.186371;-331.184937;IGS08;1;Tulcea; Romania
AERO;32.807467;-117.12438;NA12;1;San Diego; USA
AFAL;46.527143;-347.825485;IGS08;1;Cortina d'Ampezzo; Italy
AFHT;34.351238;-297.782359;IGS08;1;Herat; Afghanistan
AFKB;34.521874;-290.818232;IGS08;1;Kabul; Afghanistan
AFKL;34.521882;-290.818271;IGS08;1;Kabul; Afghanistan
AFYN;38.738362;-329.438997;IGS08;1;Afyonkarahisar; Turkey
AFYT;40.097136;-336.564675;IGS08;1;Afytos; Greece
AGCA;8.315047;-73.595419;IGS08;1;Aguachica; Colombia
AGDE;43.296383;-356.533573;IGS08;1;Agde; France
AGDS;43.312653;-356.525676;IGS08;1;Agde; France
AGEN;44.172518;-359.388451;IGS08;1;Le Passage; France
AGGO;-34.873707;-58.139857;IGS08;1;Pereyra; Argentina
AGID;39.717563;-316.967124;IGS08;1;Ağrı; Turkey
AGIG;44.086541;-331.358066;IGS08;1;Stațiunea Zoologică Marină Agigea; Romania
AGIL;45.077046;-331.107851;IGS08;1;Agighiol; Romania
AGIO;35.191504;-334.282003;IGS08;1;Agios Nikolaos; Greece
AGMC;35.01323;-85.188542;NA12;1;Chattanooga; USA
AGMT;34.594282;-116.429377;NA12;1;Kenton Mill; USA
AGNA;39.483652;-338.153003;IGS08;1;Agnandero Karditsas; Greece
AGNE;45.467941;-352.860381;IGS08;1;Chiapili; Italy
AGPR;18.467533;-67.111235;NA12;1;Arenales; Puerto Rico
AGPS;33.340251;-111.685908;NA12;1;Mesa; USA
AGR2;40.354875;-344.171508;IGS08;1;Villa d'Agri; Italy
AGRD;41.848967;-1.930558;IGS08;1;Ágreda; Spain
AGRG;37.320284;-346.398829;IGS08;1;Agrigento; Italy
AGRI;38.623995;-338.59097;IGS08;1;Agrinio; Greece
AGU1;8.315225;-73.595364;IGS08;1;Aguachica; Colombia
AGUA;34.247891;-112.058536;NA12;2;Cordes Lakes; USA
AGUE;40.575584;-8.44689;IGS08;1;Agueda; Portugal
AGUI;27.903877;-15.445833;NA12;1;Agüimes; Spain
